qa_id,question,answer,context,is_question_valid,is_answer_correct
58435615612912364293923963065585757444,What is UrbanDash.com.a?,The blog of fitness experts,".com - Comprehensive fitness and wellness search and discovery platform. Jenny MetCon - A new mom's adventures in endurance training, powerlifting, and bodybuilding WeightRoom - A workout tracker 3bestdeal.com - The blog of fitness experts. UrbanDash.com.a",2,2
237344783185052009301258713932188047279,What type of Exercises do Dumbbell Shoulder Press and Arnold Press do?,, Dumbbell Shoulder Exercises Dumbbell Shoulder Press (Combination - Primarily Front) Arnold Press (Front and Lateral) Dumbbell Front Raise (Front) Dumbbell Lateral Raise (Lateral) Bent Over Lateral Raise (Rear) Smith Machine Shoulder Exercises Smith Machin,1,1
63679533193882551248075668989611820660,What is the new way of life?,,"sit on their assers. The easier ones life is, the more indulging their food is, the shorter their life, the worse their health, the less their happiness. Extreme Living is a new (old) way of life, it is a belief system, a religion, a life-style, a diet. Qu",1,1
10185956085344765741743352600253479068,What is the first section of your page?,Section heading,"video File:Placeholder Learn all the Paleo Diet Food List Here . Free Paleo Recipes to choose from, start eating healthy today. Section heading[] Write the first section of your page here. Section heading[] Write the second section of your page here.",1,1
81356085267098931827447855573490341008,What type of techniques does wrestling involve?,grappling-type,"Wrestling is a combat sport involving grappling-type techniques such as clinch fighting, throws and takedowns, joint locks, pins and other grappling holds. The sport can either be theatrical for entertainment (see Professional Wrestling), or genuinely comp",1,1
236384877585657849487575446041052998327,What do you lock your hips and knees at?,the top,"pper-back tight. Lock your hips and knees at the top. Exhale and rest a second. Then take a big breath, hold it and Squat your next rep. After your fifth rep, rack the weight by stepping forward.",1,1
152628647082130944552027897909545524973,"What are the ab exercises for the upper, lower, and oblique muscles called?",,"Ab Twists Side Leg Raises Side Jackknives Side Bridges Transverse abdominal exercises typically utilize bridging motions to engage the transverse abdominal muscles. Unlike the ab exercises for the upper, lower, and oblique muscles which involve movement of",2,2
253411133336924444630519982597117373238,What is another name for a Diving pool?,Diving well,A Diving pool (also called a Diving well) called is a structure designed to hold water to enable diving,1,1
50162641532920357434268393858718521616,What does SNES stand for?,Company Fitnesse Musculaire Classic Musculation Dynamic American,"Sport includes all forms of Company Fitnesse Musculaire Classic Musculation Dynamic American or SNES which, through casual or organised participation, at least in part aim to use, maintain or improve physical ability and skills while providing enjoyment to",2,2
298123291561477313455811652435167643833,Which is better for dieters than Soda?,Fruit Juice,"ight you'll lose 4 Carbohydrates make you fat 5 Sugar Causes Diabetes 6 Calories eaten after 8PM turn to fat 7 Avoid nuts as they are fattening 8 Fruit Juice is better for dieters than Soda 9 Certain food groups should be eliminated 10 ""People inherit bein",1,1
42440102366558783352154753029134055674,What is the nationality of Devan Chris Anderson?,African-american,"Birthday & Nationality of Devan Christopher Anderson Devan Christopher Anderson Born February 8, 1996 Nationality African-american Devan Christopher Anderson",1,1
285121299441612344577385255454688942690,What is the main reason people stick to running?,to find out who we really are," are meant to be."" George Sheehan ""People begin running for any number of motives, but we stick to it for one basic reason-to find out who we really are. "" George Sheehan ""I do not run to add days to my life -- I run to add life to my days."" Ronald Rook ""I",1,1
9022985413203289617454502255292259905,What are some uses of weights?,wrist and ankle weights,"bout the safety of some uses of weights, such as wrist and ankle weights. It is normally done in the form of small weights, attached to increase endurance when performed in long repetitive events, such as running, swimming, punching, kicking or jumping. He",1,1
36808037287753664409010499373061292961,What is an activity that enhances or maintains physical fitness and overall health and wellness?,Physical exercise,Physical exercise is any bodily activity that enhances or maintains physical fitness and overall health and wellness.,1,1
210969213052421770614641618704660927749,What is another variant of the burpee?,The 8 count body builder,"s / air burpees: the athlete kicks his feet up against a wall / up on a table / up in the air, instead of back. Usually, these variants are performed without a pushup. The 8 count body builder is another variant of the burpee. Counts 1-8 are as follows: (1",1,1
20448513659739941561444129003285761062,What is a half marathon training plan?,," set distances or sets, ""speed play"". Fobar - Run one direction at race pace until you drop, then get up and run/jog/crawl home. A's, B's and C's - A = Kick your butt, B = Knee to chest, C = long stride. Half Marathon Running Training Plan The idea of fini",1,2
585682948456063499244342580083208481,What is the name of the website that publishes an extraordinary wealth of fitness information?,,"vement is centered around the website, that publishes an extraordinary wealth of fitness information and includes a WOD (Work Out of the Day) every day. The workouts are intense and varied. Followers of the fitness regiments post comments to the WOD includ",2,2
176799568974082737304655095751493169206,What college did she attend?,Massachusetts College of Liberal Arts,t after she finished her first year of college at the Massachusetts College of Liberal Arts at the age of 18. Her body was discovered by her mother.,1,1
210082199423452480245194145434986823006,"How many days a week do you cycle, run, swim, row, etc.?",,". Bike, run, swim, row, etc, hard and fast. Five or six days per week mix these elements in as many combinations and patterns as creativity will allow. Routine is the enemy. Keep workouts short and intense. Regularly learn and play new sports. A significan",1,1
